Filename,Old Size (bytes),New Size (bytes),Size Diff,% Change
request-debt-help-form-5655.entry.js,2993792,2347375,-646417,-21.6%
confirm-contact-email.entry.js,2374236,1868248,-505988,-21.3%
letters.entry.js,2420726,1908749,-511977,-21.1%
terms-of-use.entry.js,2468281,1948788,-519493,-21.0%
sign-in-health-portal.entry.js,2361377,1864448,-496929,-21.0%
welcome-va-setup-review-information.entry.js,2437945,1934771,-503174,-20.6%
coe-status.entry.js,2743869,2180664,-563205,-20.5%
10272-edu-benefits.entry.js,2635940,2095568,-540372,-20.5%
mock-form-prefill.entry.js,2543331,2026154,-517177,-20.3%
coe.entry.js,2752350,2199934,-552416,-20.1%
mock-form-ae-design-patterns.entry.js,3447250,2757837,-689413,-20.0%
vaos.entry.js,3534855,2830597,-704258,-19.9%
21p-0537.entry.js,2514975,2014280,-500695,-19.9%
0803-edu-benefits.entry.js,2616511,2095827,-520684,-19.9%
mock-form.entry.js,2499629,2002342,-497287,-19.9%
dispute-debt.entry.js,2610874,2092964,-517910,-19.8%
10215-edu-benefits.entry.js,2349144,1884008,-465136,-19.8%
10216-edu-benefits.entry.js,2242771,1800007,-442764,-19.7%
0839-edu-benefits.entry.js,2446563,1965364,-481199,-19.7%
10275-edu-benefits.entry.js,2374268,1907410,-466858,-19.7%
8794-edu-benefits.entry.js,2408410,1937293,-471117,-19.6%
ask-va.entry.js,2687053,2163377,-523676,-19.5%
21p-530a-interment-allowance.entry.js,2530079,2037357,-492722,-19.5%
form-upload-flow.entry.js,2263188,1822803,-440385,-19.5%
1919-edu-benefits.entry.js,2361957,1902799,-459158,-19.4%
1330m-medallions.entry.js,2502215,2018149,-484066,-19.3%
10206-pa.entry.js,2262414,1827486,-434928,-19.2%
40-xxxx-ton.entry.js,2393714,1933728,-459986,-19.2%
995-supplemental-claim.entry.js,3024116,2443039,-581077,-19.2%
28-1900-chapter-31.entry.js,2234896,1806227,-428669,-19.2%
10210-lay-witness-statement.entry.js,2244656,1814325,-430331,-19.2%
21-0966-intent-to-file-a-claim.entry.js,2297802,1857326,-440476,-19.2%
0845-auth-disclose.entry.js,2244733,1814933,-429800,-19.1%
4555-adapted-housing.entry.js,2247289,1818135,-429154,-19.1%
21P-0847-substitute-claimant.entry.js,2218341,1795313,-423028,-19.1%
new-chapter-36-form.entry.js,2199805,1780482,-419323,-19.1%
4138-ss.entry.js,2267181,1835550,-431631,-19.0%
21-8940.entry.js,2458952,1991523,-467429,-19.0%
0976-edu-benefits.entry.js,2419566,1959844,-459722,-19.0%
21-0972-alternate-signer.entry.js,2237332,1813031,-424301,-19.0%
0996-higher-level-review.entry.js,2853512,2313097,-540415,-18.9%
10182-board-appeal.entry.js,2844639,2307623,-537016,-18.9%
12-3456.entry.js,2313386,1880784,-432602,-18.7%
21-4140-eq.entry.js,2313439,1880837,-432602,-18.7%
10297-edu-benefits.entry.js,2415011,1963944,-451067,-18.7%
mhv-secure-messaging.entry.js,2647764,2153622,-494142,-18.7%
10207-pp.entry.js,2419827,1969682,-450145,-18.6%
21-4140.entry.js,2359327,1922783,-436544,-18.5%
