Filename,Old Size (bytes),New Size (bytes),Size Diff,% Change
representative.entry.js,1031161,857524,-173637,-16.8%
ask-a-question.entry.js,1766751,1515860,-250891,-14.2%
public-outreach-materials.entry.js,1292738,1117228,-175510,-13.6%
proxy-rewrite.entry.js,907818,784580,-123238,-13.6%
medical-records.entry.js,1885810,1645923,-239887,-12.7%
download.entry.js,1391330,1218832,-172498,-12.4%
office-directory.entry.js,1349434,1186335,-163099,-12.1%
verify.entry.js,1352685,1189618,-163067,-12.1%
messages.entry.js,1353938,1190974,-162964,-12.0%
auth.entry.js,1369915,1205106,-164809,-12.0%
covid19screen.entry.js,1378571,1213825,-164746,-12.0%
veteran-id-card.entry.js,1364556,1201614,-162942,-11.9%
resources-and-support.entry.js,1361072,1199077,-161995,-11.9%
post-911-gib-status.entry.js,1367930,1205793,-162137,-11.9%
login-page.entry.js,1373769,1211622,-162147,-11.8%
dhp-consent-flow.entry.js,1382095,1219867,-162228,-11.7%
ds-playground.entry.js,1392215,1229292,-162923,-11.7%
yellow-ribbon.entry.js,1402441,1238542,-163899,-11.7%
search.entry.js,1385009,1223433,-161576,-11.7%
income-limits.entry.js,1397968,1234961,-163007,-11.7%
sco.entry.js,1395624,1233214,-162410,-11.6%
pact-act.entry.js,1434838,1271217,-163621,-11.4%
discharge-upgrade-instructions.entry.js,1457736,1294323,-163413,-11.2%
medications.entry.js,1878100,1669718,-208382,-11.1%
sahg.entry.js,1636742,1462636,-174106,-10.6%
pre-need.entry.js,1785379,1597318,-188061,-10.5%
find-a-representative.entry.js,1635113,1463284,-171829,-10.5%
sc-testing.entry.js,1586947,1421006,-165941,-10.5%
hlr-testing.entry.js,1586971,1421034,-165937,-10.5%
nod-new.entry.js,1586934,1421003,-165931,-10.5%
0994-edu-benefits.entry.js,1693562,1524644,-168918,-10.0%
25-8832-planning-and-career-guidance.entry.js,1875597,1702478,-173119,-9.2%
1990ez-edu-benefits.entry.js,1853299,1686054,-167245,-9.0%
mock-sip-form.entry.js,1634686,1489063,-145623,-8.9%
fry-dea.entry.js,1699530,1553802,-145728,-8.6%
10203-edu-benefits.entry.js,1704979,1567329,-137650,-8.1%
survivor-dependent-education-benefit-22-5490.entry.js,1781032,1638271,-142761,-8.0%
