UID,Product,Path,Parent,Team,Label,Tests,Root URL,Launch Date,Referral,Testrail Project ID,Package Dependencies,Cross Product Dependencies
144,Self Service UI for VA,,VA Notify,VANotify,,,notifications.va.gov,,"QA Standards, Governance",,,
180,Coronavirus Vaccination,src/applications/coronavirus-vaccination,,,,,va.gov,,,,"react,react-redux,react-router,moment,@department-of-veterans-affairs/react-components/AlertBox,@department-of-veterans-affairs/react-components/LoadingIndicator,@department-of-veterans-affairs/component-library/Telephone,prop-types,react-dom,msw,msw/node,chai,@pact-foundation/pact",
9,Appeals Modernization,src/applications/appeals/10182,Decision Reviews,Claims & Appeals,,,www.va.gov/decsion-reviews,3/2019,"QA Standards, Governance",,"react,react-redux,prop-types,@department-of-veterans-affairs/component-library/TextInput,@department-of-veterans-affairs/component-library/Date,react-router,moment,@department-of-veterans-affairs/component-library/Telephone,@department-of-veterans-affairs/component-library/OMBInfo,@department-of-veterans-affairs/component-library/dist/react-bindings,path,chai,sinon,@testing-library/react,enzyme,react-scroll",
10,Appeals Status,src/applications/claims-status,Claims Status,Claims & Appeals,,,https://staging-api.va.gov/v0/user,o3/21/2018,QA Standards,,,
11,Application for Comprehensive Assistance for Family 10-10 Program (10-10 CG),src/applications/caregivers,,10-10,,,https://tud.vfs.va.gov/,10/1/2020,"QA Standards, Governance",10,"react,prop-types,@department-of-veterans-affairs/component-library/Telephone,lodash/cloneDeep,react-redux,@department-of-veterans-affairs/react-components/Checkbox,@department-of-veterans-affairs/component-library/TextInput,@department-of-veterans-affairs/react-components/LoadingIndicator,@sentry/browser,moment,@department-of-veterans-affairs/react-components/AlertBox,vets-json-schema/dist/10-10CG-schema.json,@department-of-veterans-affairs/component-library/OMBInfo,react-router,lodash/mapValues,lodash/isEmpty,vets-json-schema/dist/caregiverProgramFacilities.json,@testing-library/react,chai,path,enzyme",
12,Authentication and Authorization,src/applications/login,Login,Identity,,,,3/28/2018,"QA Standards, Governance",,"react,react-redux,append-query,url-search-params-polyfill,chai,enzyme,sinon",
14,Auto Allowance and Adaptive Equipment Application (21-4502),src/applications/disability-benefits/all-claims,Disability Comp Application (21-526 EZ),,,,,,"QA Standards, Governance",,"@sentry/browser,prop-types,react,classnames,react-scroll,@department-of-veterans-affairs/react-jsonschema-form/lib/utils,react-redux,reselect,@department-of-veterans-affairs/component-library/OMBInfo,@department-of-veterans-affairs/component-library/Telephone,lodash/isEmpty,lodash/isEqual,lodash/get,vets-json-schema/dist/21-526EZ-ALLCLAIMS-schema.json,vets-json-schema/dist/constants.json,react-router,moment,@department-of-veterans-affairs/component-library/dist/react-bindings,lodash/merge,chai,sinon,path,enzyme,redux,fs,jsonschema,date-fns,lodash/omit,fast-levenshtein,@department-of-veterans-affairs/react-components/Breadcrumbs,lodash/some",
16,Benefits Delivery at Discharge,src/applications/disability-benefits/all-claims,Disability Comp Application (21-526 EZ),Claims & Appeals,,,,,"QA Standards, Governance",,,
18,Burial Benefits Application (21P-530),src/applications/burials,Burial Benefits Application (21P-530),Sitewide Content & IA,,,,,"QA Standards, Governance",,"react,@department-of-veterans-affairs/component-library/OMBInfo,prop-types,lodash/merge,moment,reselect,vets-json-schema/dist/21P-530-schema.json,lodash/map,react-redux,@sentry/browser,chai,sinon,react-dom/test-utils,react-dom,@testing-library/react,skin-deep,fs,path,jsonschema",
20,Burials and Memorial Hub,src/applications/burials,Content Hub,Sitewide Content & IA,,,,,"QA Standards, Governance",,,
